Date,Open,High,Low,Close,Direction,Buy Swing,Sell Swing
03/20/2015,5953,5991,5924,5989,UP,38,29
03/21/2015,5989,6004,5976,5985,DOWN,15,13
03/23/2015,5987,5998,5939,5962,DOWN,11,48
03/24/2015,5961,5993,5944,5985,UP,33,17
03/25/2015,5985,5998,5967,5976,DOWN,14,18
03/26/2015,5977,5983,5861,5878,DOWN,6,115
03/27/2015,5878,5944,5855,5878,DOWN,66,24
03/28/2015,5878,5897,5870,5882,UP,19,8
03/30/2015,5882,5887,5827,5876,DOWN,5,56
03/31/2015,5876,5932,5852,5858,DOWN,56,24
04/01/2015,5859,5894,5840,5872,UP,35,20
04/02/2015,5873,5915,5856,5886,UP,42,18
04/03/2015,5887,5905,5867,5867,DOWN,18,19
04/04/2015,5867,5870,5862,5865,DOWN,3,5
04/06/2015,5868,5903,5863,5897,UP,35,5
04/07/2015,5897,5988,5897,5952,UP,91,0
04/08/2015,5951,5985,5924,5984,UP,35,27
04/09/2015,5984,5988,5930,5941,DOWN,5,53
04/10/2015,5942,5982,5927,5977,UP,40,15
04/11/2015,5978,5990,5972,5984,UP,13,6
04/13/2015,5985,6002,5955,5981,DOWN,17,29
04/14/2015,5982,5985,5925,5943,DOWN,4,57
04/15/2015,5942,5976,5893,5942,DOWN,34,50
04/16/2015,5943,5977,5918,5930,DOWN,34,25
04/17/2015,5931,5953,5839,5847,DOWN,22,93
04/18/2015,5846,5848,5813,5828,DOWN,2,33
04/20/2015,5828,5857,5806,5855,UP,29,22
04/21/2015,5856,5895,5854,5868,UP,39,2
04/22/2015,5869,5879,5799,5827,DOWN,10,70
04/23/2015,5828,5859,5818,5858,UP,31,10
04/24/2015,5857,5973,5843,5966,UP,115,14
04/25/2015,5965,5982,5958,5974,UP,18,7
04/27/2015,5973,6018,5955,6016,UP,45,18
04/28/2015,6016,6022,5922,5935,DOWN,6,95
04/29/2015,5934,5956,5782,5796,DOWN,23,152
04/30/2015,5796,5816,5746,5757,DOWN,20,50
05/01/2015,5755,5826,5747,5825,UP,71,8
05/02/2015,5824,5855,5824,5852,UP,31,0
05/04/2015,5850,5865,5790,5863,UP,14,60
05/05/2015,5862,5906,5792,5800,DOWN,44,70
05/06/2015,5798,5803,5649,5653,DOWN,6,149
